ID;COUNTRY;YIAR;CAREWORKERS
278;Country A;1991;12.541
279;Country B;1991;3.897
280;Country A;1991;10.462
281;Country B;1991;4.462
282;Country A;1991;7.948
283;Country B;1991;5.601
284;Country A;1991;9.615
285;Country B;1991;4.269
286;Country A;1991;8.204
287;Country B;1991;4.523
288;Country A;1991;10.119
289;Country B;1991;4.884
290;Country A;1991;11.121
291;Country B;1991;4.723
292;Country A;1991;11.097
293;Country B;1991;4.294
294;Country A;1991;6.954
295;Country B;1991;4.913
296;Country A;1991;9.998
297;Country B;1991;4.515
298;Country A;1991;6.964
299;Country B;1991;6.19
300;Country A;1991;10.072
301;Country B;1991;4.62
302;Country A;1991;9.38
303;Country B;1991;6.038
304;Country A;1991;8.933
305;Country B;1991;4.059
306;Country A;1991;10.939
307;Country B;1991;4.327
308;Country A;1991;9.764
309;Country B;1991;5.979
310;Country A;1991;8.569
311;Country B;1991;1.903
312;Country A;1991;9.793
313;Country B;1991;5.127
314;Country A;1991;10.785
315;Country B;1991;4.343
316;Country A;1991;9.33
317;Country B;1991;3.566
318;Country A;-1;9.839
319;Country B;1991;5.171
320;Country A;1991;6.842
321;Country B;1991;6.043
322;Country A;1991;9.536
323;Country B;1991;4.297
324;Country A;1991;7.451
325;Country B;1991;3.858
326;Country A;1991;9.476
327;Country B;1991;4.398
328;Country A;1991;9.994
329;Country B;1991;3.51
330;Country A;-1;9.512
331;Country B;1991;6.674
332;Country A;1991;9.301
333;Country B;1991;3.37
334;Country A;1991;-9999999
335;Country B;1991;4.72
336;Country A;1991;6.841
337;Country B;1991;6.447
338;Country A;1991;6.634
339;Country B;1991;5.699
340;Country A;1991;10.839
341;Country B;1991;4.229
342;Country A;1991;8.464
343;Country B;1991;4.477
344;Country A;1991;9.083
345;Country B;1991;5.985
346;Country A;1991;11.576
347;Country B;1991;5.039
348;Country A;1991;8.196
349;Country B;1991;3.56
350;Country A;1991;6.755
351;Country B;1991;6.812
352;Country A;1991;11.763
353;Country B;-1;4.657
354;Country A;1991;11.393
355;Country B;1991;4.385
356;Country A;1991;9.056
357;Country B;1991;5.233
358;Country A;1991;8.315
359;Country B;1991;2.355
360;Country A;1991;8.583
361;Country B;1991;4.608
362;Country A;1991;8.793
363;Country B;1991;4.366
364;Country A;1991;9.605
365;Country B;1991;6.305
366;Country A;1991;10.323
367;Country B;1991;4.022
368;Country A;1991;11.643
369;Country B;1991;5.962
370;Country A;1991;15.178
371;Country B;1991;5.222
372;Country A;1991;9.374
373;Country B;1991;5.384
374;Country A;1991;6.985
375;Country B;1991;4.951
376;Country A;1991;6.575
377;Country B;1991;4.589
378;Country A;1991;9.863
379;Country B;-1;2.458
380;Country A;1991;7.482
381;Country B;1991;4.683
382;Country A;1991;9.625
383;Country B;1991;6.715
384;Country A;1991;7.754
385;Country B;1991;6.378
386;Country A;1991;8.747
387;Country B;1991;5.356
388;Country A;1991;10.311
389;Country B;1991;5.601
390;Country A;1991;11.265
391;Country B;1991;5.837
392;Country A;1991;11.16
393;Country B;1991;6.39
394;Country A;-1;8.524
395;Country B;1991;4.051
396;Country A;1991;15.768
397;Country B;1991;6.688
398;Country A;1991;7.987
399;Country B;1991;4.146
400;Country A;1991;11.542
401;Country B;1991;6.352
402;Country A;1991;7.488
403;Country B;1991;4.176
404;Country A;1991;13.199
405;Country B;1991;5.016
406;Country A;1991;10.987
407;Country B;1991;3.835
408;Country A;1991;7.432
409;Country B;1991;6.521
410;Country A;1991;9.729
411;Country B;1991;5.192
412;Country A;-1;11.55
413;Country B;1991;3.617
414;Country A;1991;10.338
415;Country B;1991;2.841
416;Country A;1991;8.895
417;Country B;1991;5.205
418;Country A;1991;8.941
419;Country B;1991;3.425
420;Country A;1991;11.814
421;Country B;1991;2.365
422;Country A;1991;9.731
423;Country B;1991;6.395
424;Country A;1991;11.972
425;Country B;1991;3.45
426;Country A;1991;14.316
427;Country B;1991;6.185
428;Country A;1991;8.961
429;Country B;1991;4.89
430;Country A;1991;10.772
431;Country B;1991;5.085
432;Country A;1991;5.531
433;Country B;1991;4.097
434;Country A;1991;6.45
435;Country B;1991;5.069
436;Country A;1991;13.028
437;Country B;1991;5.874
438;Country A;1991;9.082
439;Country B;1991;4.41
440;Country A;1991;7.66
441;Country B;1991;4.949
442;Country A;1991;6.402
443;Country B;-1;3.548
444;Country A;1991;8.646
445;Country B;1991;5.379
446;Country A;1991;9.55
447;Country B;1991;3.537
448;Country A;1991;10.093
449;Country B;1991;5.362
450;Country A;1991;8.863
451;Country B;1991;5.025
452;Country A;1991;8.866
453;Country B;1991;3.17
454;Country A;1991;10.065
455;Country B;1991;4.253
456;Country A;1991;-9999999
457;Country B;1991;7.181
458;Country A;1991;8.897
459;Country B;1991;4.752
460;Country A;1991;10.151
461;Country B;1991;2.622
462;Country A;1991;7.739
463;Country B;1991;4.379
464;Country A;1991;7.976
465;Country B;1991;6.063
466;Country A;-1;11.219
467;Country B;1991;6.258
468;Country A;1991;11.202
469;Country B;1991;6.063
470;Country A;1991;12.719
471;Country B;1991;-9999999
472;Country A;1991;10.098
473;Country B;1991;4.85
474;Country A;1991;10.382
475;Country B;1991;3.599
476;Country A;1991;14.812
477;Country B;1991;4.417
478;Country A;1991;14.19
479;Country B;1991;4.975
480;Country A;1991;13.713
481;Country B;1991;6.724
482;Country A;1991;9.186
483;Country B;1991;4.924
484;Country A;1991;9.512
485;Country B;-1;4.653
486;Country A;1991;12.098
487;Country B;1991;5.776
488;Country A;1991;-9999999
489;Country B;1991;5.388
490;Country A;1991;5.95
491;Country B;1991;5.029
492;Country A;1991;10.166
493;Country B;1991;3.968
494;Country A;1991;8.905
495;Country B;1991;6.473
496;Country A;1991;7.808
497;Country B;1991;5.184
498;Country A;1991;8.569
499;Country B;1991;5.704
500;Country A;1991;8.569
501;Country B;1991;5.207
502;Country A;1991;10.917
503;Country B;1991;4.399
504;Country A;1991;8.233
505;Country B;1991;5.125
506;Country A;1991;3.441
507;Country B;1991;3.066
508;Country A;1991;11.394
509;Country B;1991;4.919
510;Country A;1991;13.335
511;Country B;1991;5.83
512;Country A;1991;14.703
513;Country B;1991;6.884
514;Country A;1991;11.281
515;Country B;1991;5.823
516;Country A;1991;10.477
517;Country B;1991;5.205
518;Country A;1991;10.346
519;Country B;1991;5.064
520;Country A;1991;8.605
521;Country B;1991;5.91
522;Country A;1991;10.797
523;Country B;1991;4.613
524;Country A;1991;6.789
525;Country B;1991;5.591
526;Country A;1991;10.916
527;Country B;1991;5.645
528;Country A;1991;11.212
529;Country B;1991;3.598
530;Country A;1991;13.065
531;Country B;1991;5.569
532;Country A;1991;9.305
533;Country B;1991;4.728
534;Country A;1991;8.396
535;Country B;1991;6.859
536;Country A;1991;10.438
537;Country B;1991;4.931
538;Country A;1991;-9999999
539;Country B;1991;3.842
540;Country A;1991;9.63
541;Country B;1991;4.988
542;Country A;1991;9.611
543;Country B;1991;5.387
544;Country A;1991;8.581
545;Country B;1991;3.222
546;Country A;1991;8.649
547;Country B;1991;6.297
548;Country A;1991;7.572
549;Country B;1991;6.815
550;Country A;1991;6.794
551;Country B;1991;3.641
552;Country A;1991;10.152
553;Country B;1991;4.789
554;Country A;1991;11.006
555;Country B;1991;5.543
556;Country A;1991;9.192
557;Country B;1991;4.147
558;Country A;1991;10.883
559;Country B;1991;3.984
560;Country A;1991;10.585
561;Country B;1991;5.712
562;Country A;1991;8.439
563;Country B;1991;4.964
564;Country A;1991;11.482
565;Country B;1991;5.313
566;Country A;1991;7.028
567;Country B;1991;4.743
568;Country A;1991;8.493
569;Country B;1991;4.842
570;Country A;1991;8.63
571;Country B;1991;6.016
572;Country A;1991;6.469
573;Country B;1991;4.411
574;Country A;1991;-9999999
575;Country B;1991;6.941
576;Country A;1991;11.532
577;Country B;1991;3.612
578;Country A;1991;10.12
579;Country B;1991;3.958
580;Country A;1991;8.057
581;Country B;1991;4.399
582;Country A;1991;8.366
583;Country B;1991;4.11
584;Country A;1991;11.964
585;Country B;1991;2.89
586;Country A;1991;7.873
587;Country B;1991;5.629
588;Country A;1991;7.75
589;Country B;1991;4.771
590;Country A;1991;10.011
591;Country B;1991;5.563
592;Country A;1991;8.983
593;Country B;1991;5.627
594;Country A;1991;14.099
595;Country B;1991;4.818
596;Country A;1991;10.991
597;Country B;1991;6.035
598;Country A;1991;6.341
599;Country B;1991;4.411
600;Country A;1991;8.975
601;Country B;1991;3.595
602;Country A;1991;12.65
603;Country B;1991;7.421
604;Country A;1991;6.072
605;Country B;1991;4.665
606;Country A;1991;8.756
607;Country B;1991;5.896
608;Country A;1991;10.505
609;Country B;1991;4.886
610;Country A;1991;5.974
611;Country B;1991;3.581
612;Country A;1991;12.074
613;Country B;1991;6.406
614;Country A;1991;8.431
615;Country B;1991;4.225
616;Country A;1991;9.407
617;Country B;1991;4.219
618;Country A;1991;11.725
619;Country B;1991;3.606
620;Country A;1991;7.821
621;Country B;1991;5.401
622;Country A;1991;10.182
623;Country B;1991;3.949
624;Country A;1991;7.224
625;Country B;1991;4.361
626;Country A;1991;10.014
627;Country B;1991;4.756
628;Country A;1991;11.308
629;Country B;1991;4.336
630;Country A;1991;8.821
631;Country B;1991;4.645
632;Country A;1991;8.239
633;Country B;1991;3.662
634;Country A;1991;8.29
635;Country B;1991;3.656
636;Country A;1991;9.621
637;Country B;1991;6.393
638;Country A;1991;7.364
639;Country B;1991;4.412
640;Country A;1991;11.51
641;Country B;1991;4.639
642;Country A;1991;6.829
643;Country B;1991;3.422
644;Country A;1991;8.239
645;Country B;1991;6.084
646;Country A;1991;14.011
647;Country B;1991;3.948
648;Country A;1991;9.631
649;Country B;1991;6.206
650;Country A;1991;6.213
651;Country B;1991;2.836
652;Country A;1991;11.037
653;Country B;1991;5.054
654;Country A;1991;10.869
655;Country B;1991;4.914
656;Country A;1991;8.457
657;Country B;1991;4.533
658;Country A;1991;11.22
659;Country B;1991;5.738
660;Country A;1991;6.894
661;Country B;1991;4.947
662;Country A;1991;9.435
663;Country B;1991;4.935
664;Country A;1991;9.821
665;Country B;1991;5.638
666;Country A;1991;10.833
667;Country B;1991;4.817
668;Country A;1991;8.871
669;Country B;1991;6.27
670;Country A;1991;14.581
671;Country B;1991;5.233
672;Country A;1991;8.297
673;Country B;1991;6.297
674;Country A;1991;11.194
675;Country B;1991;4.921
676;Country A;1991;9.8
677;Country B;1991;6.048
678;Country A;1991;10.453
679;Country B;1991;3.962
680;Country A;1991;7.894
681;Country B;1991;4.493
682;Country A;-1;8.084
683;Country B;1991;3.972
684;Country A;1991;9.452
685;Country B;1991;6.13
686;Country A;1991;8.85
687;Country B;1991;2.909
688;Country A;-1;7.009
689;Country B;1991;6.663
690;Country A;1991;7.905
691;Country B;1991;5.275
692;Country A;1991;10.93
693;Country B;1991;5.512
694;Country A;1991;10.212
695;Country B;1991;5.071
696;Country A;1991;10.244
697;Country B;1991;3.671
698;Country A;1991;9.357
699;Country B;1991;5.092
700;Country A;1991;11.506
701;Country B;1991;5.611
702;Country A;1991;9.987
703;Country B;1991;4.502
704;Country A;1991;5.324
705;Country B;1991;4.2
706;Country A;1991;11.611
707;Country B;1991;4.359
708;Country A;1991;13.645
709;Country B;1991;4.383
710;Country A;1991;9.651
711;Country B;1991;3.487
712;Country A;1991;7.729
713;Country B;1991;5.744
714;Country A;1991;9.229
715;Country B;1991;6.931
716;Country A;1991;9.668
717;Country B;1991;5.088
718;Country A;1991;10.732
719;Country B;1991;4.511
720;Country A;1991;7.351
721;Country B;1991;3.787
722;Country A;1991;9.562
723;Country B;1991;6.43
724;Country A;1991;8.489
725;Country B;1991;5.495
726;Country A;1991;10.011
727;Country B;1991;4.511
728;Country A;1991;12.852
729;Country B;1991;5.211
730;Country A;1991;10.633
731;Country B;1991;5.237
732;Country A;1991;15.179
733;Country B;1991;4.959
734;Country A;1991;12.477
735;Country B;1991;5.626
736;Country A;1991;8.215
737;Country B;1991;4.575
738;Country A;1991;9.317
739;Country B;1991;6.855
740;Country A;1991;6.437
741;Country B;1991;3.644
742;Country A;1991;11.697
743;Country B;1991;5.725
744;Country A;1991;10.194
745;Country B;1991;4.356
746;Country A;1991;10.037
747;Country B;-1;4.053
748;Country A;1991;10.107
749;Country B;1991;5.62
750;Country A;1991;14.733
751;Country B;1991;6.566
752;Country A;1991;11.618
753;Country B;1991;5.648
754;Country A;1991;7.859
755;Country B;1991;4.393
756;Country A;1991;9.999
757;Country B;1991;4.277
758;Country A;1991;12.516
759;Country B;1991;5.988
760;Country A;1991;4.708
761;Country B;1991;6.286
762;Country A;1991;10.301
763;Country B;1991;5.458
764;Country A;1991;10.994
765;Country B;1991;5.538
766;Country A;1991;9.122
767;Country B;1991;5.077
768;Country A;1991;10.402
769;Country B;1991;4.663
770;Country A;1991;12.916
771;Country B;1991;5.888
772;Country A;1991;11.288
773;Country B;1991;4.473
774;Country A;1991;12.516
775;Country B;1991;7.049
776;Country A;1991;12.486
777;Country B;1991;5.072
778;Country A;1991;10.514
779;Country B;1991;3.77
780;Country A;1991;11.094
781;Country B;1991;5.304
782;Country A;1991;12.989
783;Country B;1991;5.06
784;Country A;1991;10.186
785;Country B;1991;3.773
786;Country A;1991;10.246
787;Country B;1991;6.626
788;Country A;1991;13.081
789;Country B;1991;4.875
790;Country A;1991;9.143
791;Country B;1991;6.038
792;Country A;1991;10.004
793;Country B;1991;5.827
794;Country A;1991;6.487
795;Country B;1991;5.015
796;Country A;-1;7.087
797;Country B;1991;5.883
798;Country A;1991;12.591
799;Country B;1991;3.48
800;Country A;1991;9.404
801;Country B;1991;6.462
802;Country A;1991;8.152
803;Country B;1991;5.507
804;Country A;1991;-9999999
805;Country B;1991;4.842
806;Country A;1991;7.979
807;Country B;1991;3.742
808;Country A;1991;10.491
809;Country B;1991;5.683
810;Country A;1991;12.053
811;Country B;1991;4.768
812;Country A;1991;7.135
813;Country B;1991;6.037
814;Country A;1991;9.531
815;Country B;1991;6.242
816;Country A;1991;9.715
817;Country B;1991;6.988
818;Country A;1991;7.309
819;Country B;1991;6.344
820;Country A;1991;8.77
821;Country B;1991;5.568
822;Country A;1991;7.721
823;Country B;1991;5.657
824;Country A;1991;8.948
825;Country B;1991;5.218
826;Country A;1991;7.603
827;Country B;-1;4.917
828;Country A;1991;11.708
829;Country B;1991;4.326
830;Country A;1991;11.847
831;Country B;1991;5.361
832;Country A;1991;7.446
833;Country B;1991;-9999999
834;Country A;1991;11.83
835;Country B;1991;4.221
836;Country A;1991;7.98
837;Country B;1991;5.325
838;Country A;1991;6.699
839;Country B;1991;4.864
840;Country A;1991;10.936
841;Country B;1991;4.466
842;Country A;1991;13.645
843;Country B;1991;5.048
844;Country A;1991;6.843
845;Country B;-1;1.918
846;Country A;1991;9.034
847;Country B;1991;4.424
848;Country A;1991;10.509
849;Country B;1991;2.812
850;Country A;1991;13.319
851;Country B;1991;5.219
852;Country A;1991;10.997
853;Country B;1991;5.4
854;Country A;1991;11.23
855;Country B;1991;5.328
856;Country A;1991;9.395
857;Country B;1991;6.231
858;Country A;1991;11.013
859;Country B;1991;6.066
860;Country A;1991;7.322
861;Country B;1991;5.703
862;Country A;1991;8.273
863;Country B;1991;4.318
864;Country A;1991;11.267
865;Country B;1991;4.656
866;Country A;1991;11.041
867;Country B;1991;4.435
868;Country A;1991;10.782
869;Country B;1991;5.171
870;Country A;1991;9.123
871;Country B;-1;3.946
872;Country A;1991;7.57
873;Country B;1991;6.801
874;Country A;1991;7.765
875;Country B;1991;4.19
876;Country A;1991;7.141
877;Country B;1991;3.508
878;Country A;1991;8.742
879;Country B;1991;5.331
880;Country A;1991;9.256
881;Country B;1991;6.448
882;Country A;1991;9.039
883;Country B;1991;4.304
884;Country A;1991;11.223
885;Country B;1991;5.41
886;Country A;1991;13.23
887;Country B;1991;4.863
888;Country A;-1;9.652
889;Country B;1991;5.565
890;Country A;1991;9.621
891;Country B;1991;5.772
892;Country A;1991;9.399
893;Country B;1991;5.81
894;Country A;1991;10.212
895;Country B;1991;3.959
896;Country A;1991;9.48
897;Country B;1991;4.718
898;Country A;1991;10.012
899;Country B;1991;5.487
900;Country A;1991;9.31
901;Country B;1991;3.992
902;Country A;1991;11.176
903;Country B;1991;5.369
904;Country A;1991;10.861
905;Country B;1991;5.293
906;Country A;1991;10.849
907;Country B;1991;5.743
908;Country A;1991;11.586
909;Country B;1991;4.728
910;Country A;1991;11.172
911;Country B;1991;6.369
912;Country A;1991;4.692
913;Country B;1991;4.715
914;Country A;1991;6.13
915;Country B;1991;5.414
916;Country A;1991;9.959
917;Country B;1991;6.373
918;Country A;1991;8.177
919;Country B;1991;6.039
920;Country A;1991;8.719
921;Country B;1991;4.133
922;Country A;1991;12.32
923;Country B;1991;4.071
924;Country A;1991;12.627
925;Country B;1991;6.337
926;Country A;1991;11.024
927;Country B;1991;5.397
928;Country A;1991;11.043
929;Country B;1991;5.272
930;Country A;1991;8.806
931;Country B;1991;5.428
932;Country A;1991;8.47
933;Country B;1991;5.557
934;Country A;1991;6.476
935;Country B;1991;4.55
936;Country A;1991;10.048
937;Country B;1991;7.796
938;Country A;1991;14.088
939;Country B;1991;4.229
940;Country A;1991;9.016
941;Country B;1991;4.996
942;Country A;1991;11.473
943;Country B;1991;6.436
944;Country A;1991;11.54
945;Country B;1991;7.473
946;Country A;1991;10.829
947;Country B;1991;6.495
948;Country A;1991;9.902
949;Country B;1991;4.124
950;Country A;1991;7.22
951;Country B;1991;5.267
952;Country A;1991;10.321
953;Country B;1991;6.899
954;Country A;1991;9.376
955;Country B;1991;5.726
956;Country A;1991;13.156
957;Country B;1991;7.105
958;Country A;1991;-9999999
959;Country B;1991;4.843
960;Country A;1991;7.386
961;Country B;1991;5.493
962;Country A;1991;10.485
963;Country B;1991;4.97
964;Country A;1991;13.887
965;Country B;1991;4.088
966;Country A;1991;10.103
967;Country B;1991;5.788
968;Country A;1991;13.084
969;Country B;1991;4.509
970;Country A;1991;12.5
971;Country B;1991;4.258
972;Country A;1991;12.284
973;Country B;1991;4.271
974;Country A;1991;10.116
975;Country B;1991;4.334
976;Country A;1991;10.796
977;Country B;1991;6.77
978;Country A;1991;8.637
979;Country B;1991;3.377
980;Country A;1991;10.552
981;Country B;1991;4.568
982;Country A;1991;10.011
983;Country B;1991;-9999999
984;Country A;1991;9.215
985;Country B;1991;6.529
986;Country A;1991;7.958
987;Country B;1991;3.913
988;Country A;1991;9.592
989;Country B;1991;3.486
990;Country A;1991;8.638
991;Country B;1991;-9999999
992;Country A;1991;10.845
993;Country B;1991;3.146
994;Country A;-1;11.454
995;Country B;-1;7.191
996;Country A;1991;10.766
997;Country B;1991;4.79
998;Country A;1991;10.224
999;Country B;1991;6.726
1000;Country A;1991;10.421
1001;Country B;1991;7.417
1002;Country A;1991;9.361
1003;Country B;1991;5.343
1004;Country A;1991;11.141
1005;Country B;1991;5.019
1006;Country A;1991;8.629
1007;Country B;1991;3.727
1008;Country A;1991;8.169
1009;Country B;1991;6.069
1010;Country A;1991;7.869
1011;Country B;1991;5.885
1012;Country A;1991;11.489
1013;Country B;1991;4.871
1014;Country A;1991;9.3
1015;Country B;1991;5.574
1016;Country A;-1;7.912
1017;Country B;1991;5.741
1018;Country A;1991;8.905
1019;Country B;-1;4.83
1020;Country A;1991;9.071
1021;Country B;1991;5.799
1022;Country A;1991;9.936
1023;Country B;1991;5.039
1024;Country A;1991;13.068
1025;Country B;1991;7.522
1026;Country A;1991;10.187
1027;Country B;1991;4.886
1028;Country A;1991;12.596
1029;Country B;1991;3.958
1030;Country A;1991;10.227
1031;Country B;1991;3.285
1032;Country A;1991;10.637
1033;Country B;1991;4.752
1034;Country A;1991;9.643
1035;Country B;1991;3.407
1036;Country A;1991;6.864
1037;Country B;1991;4.399
1038;Country A;1991;11.424
1039;Country B;1991;4.323
1040;Country A;1991;10.984
1041;Country B;1991;3.873
1042;Country A;1991;9.861
1043;Country B;1991;6.274
1044;Country A;1991;12.503
1045;Country B;1991;3.739
1046;Country A;1991;6.984
1047;Country B;1991;4.513
1048;Country A;1991;11.211
1049;Country B;1991;3.726
1050;Country A;1991;12.707
1051;Country B;1991;5.844
1052;Country A;1991;7.636
1053;Country B;1991;4.985
1054;Country A;1991;7.803
1055;Country B;1991;4.885
1056;Country A;1991;12.801
1057;Country B;1991;6.191
1058;Country A;-1;9.921
1059;Country B;1991;5.084
1060;Country A;1991;-9999999
1061;Country B;1991;4.85
1062;Country A;1991;10.371
1063;Country B;1991;3.847
1064;Country A;1991;10.788
1065;Country B;1991;5.366
1066;Country A;1991;9.111
